time,ice_free,new_young,thin_FY,medium_FY,thick_FY,multiyear
2025-02-01,394815.256241983,76692.84957240341,148466.24842352036,20758.802900363902,1726.9042982369124,0.0
2025-02-02,411763.00482884323,80128.45886980424,128308.58313532267,20583.623856417325,1676.3907461201154,0.0
2025-02-03,428484.0881544868,90165.62724131803,101395.81916530691,19740.03486461359,2674.4920107822436,0.0
2025-02-04,439520.73603988637,78522.81788584702,97787.15197692844,24007.129133939918,2622.2263999057836,0.0
2025-02-05,446681.66498174914,71779.59381409964,95023.32000101548,28451.853890718714,523.6287489245951,0.0
2025-02-06,450073.5659216778,68202.89126714416,89779.04952031485,33933.580740794125,470.9739865766587,0.0
2025-02-07,453436.9121240669,65384.17468958517,82682.70296247987,38956.36877942574,1999.9028809499039,0.0
2025-02-08,454754.41925356525,65554.59964510091,79322.02226791192,40088.84327797961,2740.176991949842,0.0
2025-02-09,456182.5577520963,72773.54910774349,71436.1958345234,41645.548966167524,422.20977597681883,0.0
2025-02-10,461230.7593274955,76410.04140532351,65333.771655632954,39485.48904805559,0.0,0.0
2025-02-11,467899.20209808764,86440.24174358287,48726.77448584028,39393.84310899679,0.0,0.0
2025-02-12,471174.9531000984,84080.73469197513,47436.73321530101,39767.640429132996,0.0,0.0
2025-02-13,471890.75338611164,80108.55419843516,51930.804188942435,38529.94966301831,0.0,0.0
2025-02-14,461115.1942989266,80727.72673911901,64030.04816567496,36587.09223278696,0.0,0.0
2025-02-15,447231.8786379547,79702.72627339223,64395.27065877538,51130.1858663853,0.0,0.0
2025-02-16,431723.24536444386,92063.33583366185,63625.2770116099,54615.29618247619,0.0,0.0
2025-02-17,416629.97768117324,96657.7540744136,70679.7590698036,57086.28962586394,0.0,0.0
2025-02-18,405350.34138283134,106487.6286856575,74745.51479519156,52393.50687835676,2689.479425302435,0.0
2025-02-19,398740.58916431083,111821.28916872737,79488.91181239756,51916.08320533724,126.91568241933618,0.0
2025-02-20,394177.96275937674,120459.09546090962,78369.66792839809,49242.32756755405,211.00772026907657,0.0
2025-02-21,388962.4312437135,130314.6935198273,80573.2661143578,37095.27684760741,5514.393711001578,0.0
2025-02-22,386118.3059779856,139096.6562078421,81197.16518825873,31169.087482897343,4878.846579523742,0.0
2025-02-23,381628.1817287146,142872.22561515582,85144.16983820489,29962.740794917976,2852.743459514257,0.0
2025-02-24,378798.6908769157,126996.91418512756,105491.03262051434,24004.799909347654,7168.6238446023235,0.0
2025-02-25,374337.7474287732,121052.25703351035,110423.97111761288,27485.81595493993,9160.269901671212,0.0
2025-02-26,368752.54448597843,117935.45826834673,115611.32336383667,28266.008990852777,11894.726327492932,0.0
2025-02-27,365296.1249311076,116532.58316998795,118784.11841105609,29138.479091616544,12708.755832739327,0.0
2025-02-28,361952.3488224861,116929.80187736865,121249.34562621839,33648.59514392362,8679.969966510776,0.0
2025-03-01,356543.9513406898,105281.36752299324,125827.0231315934,47088.16037411645,7719.559067114715,0.0
2025-03-02,350482.5979314356,106023.12475288604,140415.6333848397,36079.73847474566,9458.966892600569,0.0
2025-03-03,344893.1052117058,103890.78311613048,147371.9575326079,35742.02325003872,10562.192326024633,0.0
2025-03-04,339376.8347500992,108457.44142449937,154366.8474180153,36481.611195963385,3777.3266479302993,0.0
2025-03-05,332068.7090014091,115878.69145184952,149410.25760986516,42243.65822252331,2858.74515086043,0.0
2025-03-06,330731.49756885006,123841.64652280364,152229.07231495294,33547.1408666662,2110.704163234718,0.0
